ID;Scope;Kategorie;Spezifikation 1;Spezifikation 2;Spezifikation 3;Zusatzname;Kommentar;Eingang;Ausgang;Quelle;Faktor;Monatliche Eingaben;Wert-Jan (monatlich);Wert Feb (monatlich);Wert Mar (monatlich);Wert Apr (monatlich);Wert May (monatlich);Wert Jun (monatlich);Wert Jul (monatlich);Wert Aug (monatlich);Wert Sep (monatlich);Wert Oct (monatlich);Wert Nov (monatlich);Wert Dec (monatlich);Überliegende Berechnung (ID);Projekt
kgfk27ojxy7g7br;3;Chemische Grundstoffe und Produkte;Phosphor;;;;weiß (P);kg;kg;EEW 2023;14,32;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ogehfuq2k0pltlu;3;Chemische Grundstoffe und Produkte;Phosphorpaste;;;;;kg;kg;Gemis 5.1;0,058;0;0;0;0;0;0;0;0;0;0;0;0;0;;
9i73hq0s3k1huif;3;Chemische Grundstoffe und Produkte;Phosphorsäure;;;;;kg;kg;Gemis 5.1;3,086;0;0;0;0;0;0;0;0;0;0;0;0;0;;
u2d3eb6iz37i15y;3;Chemische Grundstoffe und Produkte;Phthalsäureanhydrid;;;C8H4O3;;kg;kg;EEW 2023;2,61;0;0;0;0;0;0;0;0;0;0;0;0;0;;
fowlk1z0kgdm415;3;Kunststoff;PLA;;;;;kg;kg;Gemis 5.1;3,159;0;0;0;0;0;0;0;0;0;0;0;0;0;;
2msb7wq050z80ic;3;Metalle;Platin;;;Pt;;kg;kg;EEW 2023;69.410,02;0;0;0;0;0;0;0;0;0;0;0;0;0;;
h08je5rz6woawf2;3;Kunststoff;Poly(1-chlorethylen);;;;;kg;kg;EEW 2023;1,9;0;0;0;0;0;0;0;0;0;0;0;0;0;;
zoarkd1rwxusxua;3;Kunststoff;Polyactide;;;;;kg;kg;Gemis 5.1;3,159;0;0;0;0;0;0;0;0;0;0;0;0;0;;
6tdm53jm0hqzb6a;3;Mineralien und Baustoffe;Polyester-Pulverlack;;;;;kg;kg;VdL;6,57;0;0;0;0;0;0;0;0;0;0;0;0;0;;
d14nhqb5tu41ili;3;Kunststoff;Polyethylen;Flachen;;;hohe Dichte;kg;kg;ProBas;3,08;0;0;0;0;0;0;0;0;0;0;0;0;0;;
pzg3f99mvxxfpk1;3;Kunststoff;Polyethylen;High density Polyethylen;;;hohe Dichte;kg;kg;Gemis 5.1;2,462;0;0;0;0;0;0;0;0;0;0;0;0;0;;
bqntiks10il1lws;3;Kunststoff;Polyethylen;Low density Polyethylen;;;geringe Dichte;kg;kg;Gemis 5.1;2,632;0;0;0;0;0;0;0;0;0;0;0;0;0;;
lfy1i9888kae3mx;3;Kunststoff;Polyethylen;High density Polyethylen;;;hohe Dichte;kg;kg;EEW 2023;1,92;0;0;0;0;0;0;0;0;0;0;0;0;0;;
io98yc0bgw4qq4q;3;Kunststoff;Polyethylen;Low density Polyethylen;;;geringe Dichte;kg;kg;EEW 2023;1,96;0;0;0;0;0;0;0;0;0;0;0;0;0;;
x4xmqe57vgsh8bb;3;Kunststoff;Polyethylenterephthalat;PET;;;;kg;kg;Gemis 5.1;3,222;0;0;0;0;0;0;0;0;0;0;0;0;0;;
6w5aojs28m09s2r;3;Kunststoff;Polyethylenterephthalat;PET;Flasche;;;kg;kg;ProBas;4,684;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ib4wpa72y3u9tqe;3;Kunststoff;Polyethylenterephthalat;;;;;kg;kg;EEW 2023;2,75;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ozm93esudr9wl04;3;Kunststoff;Polypropylen;;;;;kg;kg;Gemis 5.1;3,236;0;0;0;0;0;0;0;0;0;0;0;0;0;;
92yjz7an4pplz55;3;Kunststoff;Polypropylen;;;;;kg;kg;EEW 2023;1,9;0;0;0;0;0;0;0;0;0;0;0;0;0;;
y9rm2pn4fcv5p8n;3;Kunststoff;Polystyrol;Expandiert;;;;kg;kg;Gemis 5.1;3,483;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ue2it4y1nj4wgdp;3;Kunststoff;Polystyrol;;;;;kg;kg;Gemis 5.1;2,916;0;0;0;0;0;0;0;0;0;0;0;0;0;;
2qh6putj59h239y;3;Kunststoff;Polystyrol;;;;;kg;kg;EEW 2023;3,78;0;0;0;0;0;0;0;0;0;0;0;0;0;;
h2cjj65zr3iuqkg;3;Kunststoff;Polystyrol;;;;expandiert;kg;kg;EEW 2023;9,62;0;0;0;0;0;0;0;0;0;0;0;0;0;;
aip71tx5f7592lt;3;Kunststoff;Polyurethan; Hartschaum;;;;kg;kg;Gemis 5.1;4,467;0;0;0;0;0;0;0;0;0;0;0;0;0;;
uu86rp46zc8yzj1;3;Kunststoff;Polyurethane;;;;;kg;kg;EEW 2023;5,05;0;0;0;0;0;0;0;0;0;0;0;0;0;;
pdcig91oohho6zr;3;Kunststoff;Polyvinylchlorid;;;;;kg;kg;Gemis 5.1;1,898;0;0;0;0;0;0;0;0;0;0;0;0;0;;
abyvaaxs2sdessz;3;Kunststoff;Polyvinylchlorid;;;;Emulsionsverfahren;kg;kg;Gemis 5.1;2,162;0;0;0;0;0;0;0;0;0;0;0;0;0;;
bk0x69266c05l3g;3;Kunststoff;Polyvinylchlorid;;;;Masseverfahren;kg;kg;Gemis 5.1;1,842;0;0;0;0;0;0;0;0;0;0;0;0;0;;
yea4tlbr2ne6ri3;3;Kunststoff;Polyvinylchlorid;;;;Suspensionsverfahren;kg;kg;Gemis 5.1;1,786;0;0;0;0;0;0;0;0;0;0;0;0;0;;
663nv7ew99gs3p4;3;Kunststoff;Polyvinylchlorid;;;;;kg;kg;EEW 2023;1,9;0;0;0;0;0;0;0;0;0;0;0;0;0;;
n3nkgu3fzklp76o;3;Mineralien und Baustoffe;Porenbetonstein;;;;;kg;kg;Gemis 5.1;0,432;0;0;0;0;0;0;0;0;0;0;0;0;0;;
5abdr1jkva00dxj;3;Mineralien und Baustoffe;Porzellanerde;;;;;kg;kg;EEW 2023;0,21;0;0;0;0;0;0;0;0;0;0;0;0;0;;
xd06s30rx5pmyjw;3;Mineralien und Baustoffe;Porzellanton;;;;;kg;kg;EEW 2023;0,21;0;0;0;0;0;0;0;0;0;0;0;0;0;;
k0ue4qd8jtcjumf;3;Mineralien und Baustoffe;Powellit;;;;;kg;kg;EEW 2023;7,24;0;0;0;0;0;0;0;0;0;0;0;0;0;;
cson9nmhzbp5aqg;3;Kunststoff;PP;;;;;kg;kg;Gemis 5.1;3,236;0;0;0;0;0;0;0;0;0;0;0;0;0;;
